treatment,replicate,wavenumber,absorbance
trt1,rep1,3.992095E+02,0.00E+00
trt1,rep1,4.011381E+02,0.00E+00
trt1,rep1,4.030666E+02,0.00E+00
trt1,rep1,4.049951E+02,0.00E+00
trt1,rep1,4.069237E+02,0.00E+00
trt1,rep1,4.088522E+02,0.00E+00
trt1,rep1,4.107808E+02,0.00E+00
trt1,rep1,4.127094E+02,0.00E+00
trt1,rep1,4.146379E+02,0.00E+00
trt1,rep1,4.165664E+02,0.00E+00
trt1,rep1,4.184950E+02,0.00E+00
trt1,rep1,4.204235E+02,0.00E+00
trt1,rep1,4.223521E+02,0.00E+00
trt1,rep1,4.242806E+02,0.00E+00
trt1,rep1,4.262092E+02,0.00E+00
trt1,rep1,4.281377E+02,0.00E+00
trt1,rep1,4.trt1663E+02,0.00E+00
trt1,rep1,4.319948E+02,0.00E+00
trt1,rep1,4.339234E+02,0.00E+00
trt1,rep1,4.358519E+02,0.00E+00
trt1,rep1,4.377805E+02,0.00E+00
trt1,rep1,4.397090E+02,0.00E+00
trt1,rep1,4.416376E+02,0.00E+00
trt1,rep1,4.435661E+02,0.00E+00
trt1,rep1,4.454947E+02,0.00E+00
trt1,rep1,4.474232E+02,0.00E+00
trt1,rep1,4.493517E+02,0.00E+00
trt1,rep1,4.512803E+02,0.00E+00
trt1,rep1,4.532089E+02,0.00E+00
trt1,rep1,4.551374E+02,0.00E+00
trt1,rep1,4.570659E+02,0.00E+00
trt1,rep1,4.589945E+02,0.00E+00
trt1,rep1,4.609230E+02,0.00E+00
trt1,rep1,4.628516E+02,0.00E+00
trt1,rep1,4.647802E+02,0.00E+00
trt1,rep1,4.667087E+02,0.00E+00
trt1,rep1,4.686372E+02,0.00E+00
trt1,rep1,4.705658E+02,0.00E+00
trt1,rep1,4.724943E+02,0.00E+00
trt1,rep1,4.744229E+02,0.00E+00
trt1,rep1,4.763514E+02,0.00E+00
trt1,rep1,4.782800E+02,0.00E+00
trt1,rep1,4.802085E+02,0.00E+00
trt1,rep1,4.821371E+02,0.00E+00
trt1,rep1,4.840656E+02,0.00E+00
trt1,rep1,4.859942E+02,0.00E+00
trt1,rep1,4.879227E+02,0.00E+00
trt1,rep1,4.898513E+02,0.00E+00
trt1,rep1,4.917798E+02,0.00E+00
trt1,rep1,4.937084E+02,0.00E+00
trt1,rep1,4.956369E+02,0.00E+00
trt1,rep1,4.975655E+02,0.00E+00
trt1,rep1,4.994940E+02,0.00E+00
trt1,rep1,5.014225E+02,0.00E+00
trt1,rep1,5.033511E+02,0.00E+00
trt1,rep1,5.052797E+02,0.00E+00
trt1,rep1,5.072082E+02,0.00E+00
trt1,rep1,5.091367E+02,0.00E+00
trt1,rep1,5.110653E+02,0.00E+00
trt1,rep1,5.129938E+02,0.00E+00
trt1,rep1,5.149224E+02,0.00E+00
trt1,rep1,5.168510E+02,0.00E+00
trt1,rep1,5.187795E+02,0.00E+00
trt1,rep1,5.207080E+02,0.00E+00
trt1,rep1,5.226366E+02,0.00E+00
trt1,rep1,5.245651E+02,0.00E+00
trt1,rep1,5.264937E+02,0.00E+00
trt1,rep1,5.284222E+02,0.00E+00
trt1,rep1,5.303508E+02,0.00E+00
trt1,rep1,5.322793E+02,0.00E+00
trt1,rep1,5.342079E+02,0.00E+00
trt1,rep1,5.361364E+02,0.00E+00
trt1,rep1,5.380649E+02,0.00E+00
trt1,rep1,5.399935E+02,0.00E+00
trt1,rep1,5.419221E+02,0.00E+00
trt1,rep1,5.43trt36E+02,0.00E+00
trt1,rep1,5.457792E+02,0.00E+00
trt1,rep1,5.477077E+02,0.00E+00
trt1,rep1,5.496362E+02,0.00E+00
trt1,rep1,5.515648E+02,0.00E+00
trt1,rep1,5.534933E+02,0.00E+00
trt1,rep1,5.554219E+02,0.00E+00
trt1,rep1,5.573505E+02,0.00E+00
trt1,rep1,5.592790E+02,0.00E+00
trt1,rep1,5.612075E+02,0.00E+00
trt1,rep1,5.631361E+02,0.00E+00
trt1,rep1,5.650646E+02,0.00E+00
trt1,rep1,5.669932E+02,0.00E+00
trt1,rep1,5.689218E+02,0.00E+00
trt1,rep1,5.70trt33E+02,0.00E+00
trt1,rep1,5.727788E+02,0.00E+00
trt1,rep1,5.747074E+02,0.00E+00
trt1,rep1,5.766359E+02,0.00E+00
trt1,rep1,5.785645E+02,0.00E+00
trt1,rep1,5.804930E+02,0.00E+00
trt1,rep1,5.824216E+02,0.00E+00
trt1,rep1,5.843501E+02,0.00E+00
trt1,rep1,5.862787E+02,0.00E+00
trt1,rep1,5.882072E+02,0.00E+00
trt1,rep1,5.901357E+02,0.00E+00
trt1,rep1,5.920643E+02,0.00E+00
trt1,rep1,5.939929E+02,0.00E+00
trt1,rep1,5.959214E+02,0.00E+00
trt1,rep1,5.97trt30E+02,0.00E+00
trt1,rep1,5.997785E+02,1.15E-01
trt1,rep1,6.017070E+02,1.14E-01
trt1,rep1,6.036356E+02,1.13E-01
trt1,rep1,6.055641E+02,1.13E-01
trt1,rep1,6.074927E+02,1.11E-01
trt1,rep1,6.094213E+02,1.11E-01
trt1,rep1,6.113498E+02,1.10E-01
trt1,rep1,6.132783E+02,1.09E-01
trt1,rep1,6.152069E+02,1.09E-01
trt1,rep1,6.171354E+02,1.10E-01
trt1,rep1,6.190640E+02,1.07E-01
trt1,rep1,6.209926E+02,1.05E-01
trt1,rep1,6.229211E+02,1.04E-01
trt1,rep1,6.248496E+02,1.03E-01
trt1,rep1,6.267782E+02,1.02E-01
trt1,rep1,6.287067E+02,1.02E-01
trt1,rep1,6.306353E+02,1.01E-01
trt1,rep1,6.325638E+02,1.01E-01
trt1,rep1,6.344924E+02,1.00E-01
trt1,rep1,6.364209E+02,9.94E-02
trt1,rep1,6.383495E+02,9.99E-02
trt1,rep1,6.402780E+02,9.99E-02
trt1,rep1,6.422065E+02,9.79E-02
trt1,rep1,6.441351E+02,9.73E-02
trt1,rep1,6.460637E+02,9.68E-02
trt1,rep1,6.479922E+02,9.68E-02
trt1,rep1,6.499208E+02,9.70E-02
trt1,rep1,6.518493E+02,9.76E-02
trt1,rep1,6.537778E+02,9.72E-02
trt1,rep1,6.557064E+02,9.70E-02
trt1,rep1,6.576349E+02,9.73E-02
trt1,rep1,6.595635E+02,9.76E-02
trt1,rep1,6.614921E+02,9.80E-02
trt1,rep1,6.634206E+02,9.89E-02
trt1,rep1,6.653491E+02,9.90E-02
trt1,rep1,6.672777E+02,9.86E-02
trt1,rep1,6.692062E+02,9.55E-02
trt1,rep1,6.711348E+02,9.39E-02
trt1,rep1,6.730634E+02,9.28E-02
trt1,rep1,6.749919E+02,9.12E-02
trt1,rep1,6.769204E+02,8.91E-02
trt1,rep1,6.788490E+02,8.75E-02
trt1,rep1,6.807775E+02,8.61E-02
trt1,rep1,6.827061E+02,8.53E-02
trt1,rep1,6.846346E+02,8.44E-02
trt1,rep1,6.865632E+02,8.34E-02
trt1,rep1,6.884917E+02,8.22E-02
trt1,rep1,6.904203E+02,8.16E-02
trt1,rep1,6.923488E+02,8.13E-02
trt1,rep1,6.942773E+02,8.12E-02
trt1,rep1,6.962059E+02,8.09E-02
trt1,rep1,6.981345E+02,8.05E-02
trt1,rep1,7.000630E+02,7.99E-02
trt1,rep1,7.019916E+02,7.95E-02
trt1,rep1,7.039201E+02,7.89E-02
trt1,rep1,7.058486E+02,7.87E-02
trt1,rep1,7.077772E+02,7.83E-02
