treatment,replicate,wavenumber,absorbance
trt1,rep2,3.991926E+02,0.00E+00
trt1,rep2,4.011211E+02,0.00E+00
trt1,rep2,4.030496E+02,0.00E+00
trt1,rep2,4.049780E+02,0.00E+00
trt1,rep2,4.069065E+02,0.00E+00
trt1,rep2,4.088350E+02,0.00E+00
trt1,rep2,4.107634E+02,0.00E+00
trt1,rep2,4.126919E+02,0.00E+00
trt1,rep2,4.146204E+02,0.00E+00
trt1,rep2,4.165488E+02,0.00E+00
trt1,rep2,4.184773E+02,0.00E+00
trt1,rep2,4.204058E+02,0.00E+00
trt1,rep2,4.223342E+02,0.00E+00
trt1,rep2,4.242627E+02,0.00E+00
trt1,rep2,4.261912E+02,0.00E+00
trt1,rep2,4.281196E+02,0.00E+00
trt1,rep2,4.trt1481E+02,0.00E+00
trt1,rep2,4.319766E+02,0.00E+00
trt1,rep2,4.339050E+02,0.00E+00
trt1,rep2,4.358335E+02,0.00E+00
trt1,rep2,4.377620E+02,0.00E+00
trt1,rep2,4.396904E+02,0.00E+00
trt1,rep2,4.416189E+02,0.00E+00
trt1,rep2,4.435474E+02,0.00E+00
trt1,rep2,4.454758E+02,0.00E+00
trt1,rep2,4.474043E+02,0.00E+00
trt1,rep2,4.493328E+02,0.00E+00
trt1,rep2,4.512612E+02,0.00E+00
trt1,rep2,4.531897E+02,0.00E+00
trt1,rep2,4.551182E+02,0.00E+00
trt1,rep2,4.570466E+02,0.00E+00
trt1,rep2,4.589751E+02,0.00E+00
trt1,rep2,4.609036E+02,0.00E+00
trt1,rep2,4.628320E+02,0.00E+00
trt1,rep2,4.647605E+02,0.00E+00
trt1,rep2,4.666890E+02,0.00E+00
trt1,rep2,4.686174E+02,0.00E+00
trt1,rep2,4.705459E+02,0.00E+00
trt1,rep2,4.724744E+02,0.00E+00
trt1,rep2,4.744028E+02,0.00E+00
trt1,rep2,4.763313E+02,0.00E+00
trt1,rep2,4.782598E+02,0.00E+00
trt1,rep2,4.801882E+02,0.00E+00
trt1,rep2,4.821167E+02,0.00E+00
trt1,rep2,4.840452E+02,0.00E+00
trt1,rep2,4.859736E+02,0.00E+00
trt1,rep2,4.879021E+02,0.00E+00
trt1,rep2,4.898306E+02,0.00E+00
trt1,rep2,4.917590E+02,0.00E+00
trt1,rep2,4.936875E+02,0.00E+00
trt1,rep2,4.956160E+02,0.00E+00
trt1,rep2,4.975444E+02,0.00E+00
trt1,rep2,4.994729E+02,0.00E+00
trt1,rep2,5.014014E+02,0.00E+00
trt1,rep2,5.033298E+02,0.00E+00
trt1,rep2,5.052583E+02,0.00E+00
trt1,rep2,5.071868E+02,0.00E+00
trt1,rep2,5.091152E+02,0.00E+00
trt1,rep2,5.110437E+02,0.00E+00
trt1,rep2,5.129722E+02,0.00E+00
trt1,rep2,5.149006E+02,0.00E+00
trt1,rep2,5.168291E+02,0.00E+00
trt1,rep2,5.187576E+02,0.00E+00
trt1,rep2,5.206860E+02,0.00E+00
trt1,rep2,5.226145E+02,0.00E+00
trt1,rep2,5.245430E+02,0.00E+00
trt1,rep2,5.264714E+02,0.00E+00
trt1,rep2,5.283999E+02,0.00E+00
trt1,rep2,5.303284E+02,0.00E+00
trt1,rep2,5.322568E+02,0.00E+00
trt1,rep2,5.341853E+02,0.00E+00
trt1,rep2,5.361138E+02,0.00E+00
trt1,rep2,5.380422E+02,0.00E+00
trt1,rep2,5.399707E+02,0.00E+00
trt1,rep2,5.418992E+02,0.00E+00
trt1,rep2,5.438276E+02,0.00E+00
trt1,rep2,5.457561E+02,0.00E+00
trt1,rep2,5.476846E+02,0.00E+00
trt1,rep2,5.496130E+02,0.00E+00
trt1,rep2,5.515415E+02,0.00E+00
trt1,rep2,5.534700E+02,0.00E+00
trt1,rep2,5.553984E+02,0.00E+00
trt1,rep2,5.573269E+02,0.00E+00
trt1,rep2,5.592554E+02,0.00E+00
trt1,rep2,5.611838E+02,0.00E+00
trt1,rep2,5.631123E+02,0.00E+00
trt1,rep2,5.650408E+02,0.00E+00
trt1,rep2,5.669692E+02,0.00E+00
trt1,rep2,5.688977E+02,0.00E+00
trt1,rep2,5.708262E+02,0.00E+00
trt1,rep2,5.727546E+02,0.00E+00
trt1,rep2,5.746831E+02,0.00E+00
trt1,rep2,5.766116E+02,0.00E+00
trt1,rep2,5.785400E+02,0.00E+00
trt1,rep2,5.804685E+02,0.00E+00
trt1,rep2,5.823970E+02,0.00E+00
trt1,rep2,5.843254E+02,0.00E+00
trt1,rep2,5.862539E+02,0.00E+00
trt1,rep2,5.881824E+02,0.00E+00
trt1,rep2,5.901108E+02,0.00E+00
trt1,rep2,5.920393E+02,0.00E+00
trt1,rep2,5.939678E+02,0.00E+00
trt1,rep2,5.958962E+02,0.00E+00
trt1,rep2,5.978247E+02,0.00E+00
trt1,rep2,5.997532E+02,4.53E-02
trt1,rep2,6.016816E+02,4.82E-02
trt1,rep2,6.036101E+02,4.82E-02
trt1,rep2,6.055386E+02,4.64E-02
trt1,rep2,6.074670E+02,4.60E-02
trt1,rep2,6.093955E+02,4.75E-02
trt1,rep2,6.113240E+02,4.68E-02
trt1,rep2,6.132524E+02,4.13E-02
trt1,rep2,6.151809E+02,3.71E-02
trt1,rep2,6.171094E+02,3.77E-02
trt1,rep2,6.190378E+02,3.55E-02
trt1,rep2,6.209663E+02,3.26E-02
trt1,rep2,6.228948E+02,3.10E-02
trt1,rep2,6.248232E+02,3.37E-02
trt1,rep2,6.267517E+02,3.39E-02
