treatment;replicate;wavenumber;absorbance
trt1;rep1;3,99E+02;0,00E+00
trt1;rep1;4,01E+02;0,00E+00
trt1;rep1;4,03E+02;0,00E+00
trt1;rep1;4,05E+02;0,00E+00
trt1;rep1;4,07E+02;0,00E+00
trt1;rep1;4,09E+02;0,00E+00
trt1;rep1;4,11E+02;0,00E+00
trt1;rep1;4,13E+02;0,00E+00
trt1;rep1;4,15E+02;0,00E+00
trt1;rep1;4,17E+02;0,00E+00
trt1;rep1;4,18E+02;0,00E+00
trt1;rep1;4,20E+02;0,00E+00
trt1;rep1;4,22E+02;0,00E+00
trt1;rep1;4,24E+02;0,00E+00
trt1;rep1;4,26E+02;0,00E+00
trt1;rep1;4,28E+02;0,00E+00
trt1;rep1;4,30E+02;0,00E+00
trt1;rep1;4,32E+02;0,00E+00
trt1;rep1;4,34E+02;0,00E+00
trt1;rep1;4,36E+02;0,00E+00
trt1;rep1;4,38E+02;0,00E+00
trt1;rep1;4,40E+02;0,00E+00
trt1;rep1;4,42E+02;0,00E+00
trt1;rep1;4,44E+02;0,00E+00
trt1;rep1;4,45E+02;0,00E+00
trt1;rep1;4,47E+02;0,00E+00
trt1;rep1;4,49E+02;0,00E+00
trt1;rep1;4,51E+02;0,00E+00
trt1;rep1;4,53E+02;0,00E+00
trt1;rep1;4,55E+02;0,00E+00
trt1;rep1;4,57E+02;0,00E+00
trt1;rep1;4,59E+02;0,00E+00
trt1;rep1;4,61E+02;0,00E+00
trt1;rep1;4,63E+02;0,00E+00
trt1;rep1;4,65E+02;0,00E+00
trt1;rep1;4,67E+02;0,00E+00
trt1;rep1;4,69E+02;0,00E+00
trt1;rep1;4,71E+02;0,00E+00
trt1;rep1;4,72E+02;0,00E+00
trt1;rep1;4,74E+02;0,00E+00
trt1;rep1;4,76E+02;0,00E+00
trt1;rep1;4,78E+02;0,00E+00
trt1;rep1;4,80E+02;0,00E+00
trt1;rep1;4,82E+02;0,00E+00
trt1;rep1;4,84E+02;0,00E+00
trt1;rep1;4,86E+02;0,00E+00
trt1;rep1;4,88E+02;0,00E+00
trt1;rep1;4,90E+02;0,00E+00
trt1;rep1;4,92E+02;0,00E+00
trt1;rep1;4,94E+02;0,00E+00
trt1;rep1;4,96E+02;0,00E+00
trt1;rep1;4,98E+02;0,00E+00
trt1;rep1;4,99E+02;0,00E+00
trt1;rep1;5,01E+02;0,00E+00
trt1;rep1;5,03E+02;0,00E+00
trt1;rep1;5,05E+02;0,00E+00
trt1;rep1;5,07E+02;0,00E+00
trt1;rep1;5,09E+02;0,00E+00
trt1;rep1;5,11E+02;0,00E+00
trt1;rep1;5,13E+02;0,00E+00
trt1;rep1;5,15E+02;0,00E+00
trt1;rep1;5,17E+02;0,00E+00
trt1;rep1;5,19E+02;0,00E+00
trt1;rep1;5,21E+02;0,00E+00
trt1;rep1;5,23E+02;0,00E+00
trt1;rep1;5,25E+02;0,00E+00
trt1;rep1;5,26E+02;0,00E+00
trt1;rep1;5,28E+02;0,00E+00
trt1;rep1;5,30E+02;0,00E+00
trt1;rep1;5,32E+02;0,00E+00
